,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
237,Good on Paper,2021,R,92 min,"Comedy, Romance",5.6,54,"4,456"
238, Cobra Kai,2018– ,TV-14,41 min,"Action, Comedy, Drama",9.5,Not available,"4,453"
239,Ray,2021– ,TV-14,65 min,"Crime, Drama, Thriller",7.6,Not available,"4,420"
240,Virkar,2021– ,28 min,28 min,"Crime, Thriller",9.0,Not available,"4,396"
241, Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",8.0,Not available,"4,361"
242,The Crew,II 2021,TV-14,Not available,Comedy,6.6,Not available,"4,335"
243,Nayattu,2021,124 min,124 min,Thriller,8.2,Not available,"4,329"
244, Star Wars: The Bad Batch,2021– ,TV-PG,70 min,"Animation, Action, Adventure",9.0,Not available,"4,325"
245,Ajeeb Daastaans,2021,TV-MA,142 min,"Drama, Romance",6.7,Not available,"4,286"
246,Land,2021,PG-13,89 min,Drama,6.6,61,"4,286"
247, One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.4,Not available,"4,235"
248,Biggie: I Got a Story to Tell,2021,R,97 min,"Documentary, Biography, Music",6.9,62,"4,211"
249,Call Me Kat,2021– ,TV-PG,21 min,Comedy,5.0,Not available,"4,158"
250,Blue Miracle,2021,TV-PG,95 min,"Adventure, Biography, Drama",6.7,48,"4,118"
251, Aspirants,2021– ,38 min,38 min,Drama,9.4,Not available,"4,109"
252, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.4,Not available,"4,089"
253,Girl in the Basement,2021,TV-14,88 min,"Crime, Thriller",6.4,Not available,"4,058"
254, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.2,Not available,"4,027"
255,History of Swear Words,2021– ,TV-MA,124 min,"Documentary, Comedy",6.4,Not available,"4,027"
256,Have You Ever Seen Fireflies?,2021,TV-14,113 min,"Comedy, Drama",6.2,Not available,"4,022"
257,Runaway Lugaai,2021– ,25 min,25 min,"Comedy, Drama",8.3,Not available,"4,007"
258,Justice Society: World War II,2021,PG-13,84 min,"Animation, Action, Adventure",6.4,Not available,"3,968"
259,Sardar Ka Grandson,2021,TV-14,139 min,"Comedy, Drama, Romance",4.1,Not available,"3,882"
260,His Story,2021– ,"
Drama            ",Not available,Drama,9.7,Not available,"3,862"
261,The Underground Railroad,2021– ,TV-MA,593 min,"Drama, History, War",7.3,Not available,"3,861"
262,Nail Polish,2021,128 min,128 min,Drama,7.4,Not available,"3,827"
263, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.6,Not available,"3,821"
264,Sexify,2021– ,TV-MA,40 min,"Comedy, Drama",6.5,Not available,"3,815"
265,I Am All Girls,2021,TV-MA,107 min,"Crime, Drama, Mystery",5.8,Not available,"3,801"
266,Top Class: The Life and Times of the Sierra Canyon Trailblazers,2021– ,Not Rated,30 min,"Documentary, Sport",9.7,Not available,"3,759"
